 schemaname |   tablename   |        policyname        | permissive |      roles      |  cmd   |                  qual                   |               with_check                
------------+---------------+--------------------------+------------+-----------------+--------+-----------------------------------------+-----------------------------------------
 public     | notifications | notifications_select_own | PERMISSIVE | {authenticated} | SELECT | (( SELECT auth.uid() AS uid) = user_id) | 
 public     | notifications | notifications_update_own | PERMISSIVE | {authenticated} | UPDATE | (( SELECT auth.uid() AS uid) = user_id) | (( SELECT auth.uid() AS uid) = user_id)
 public     | price_alerts  | price_alerts_delete_own  | PERMISSIVE | {authenticated} | DELETE | (( SELECT auth.uid() AS uid) = user_id) | 
 public     | price_alerts  | price_alerts_insert_own  | PERMISSIVE | {authenticated} | INSERT |                                         | (( SELECT auth.uid() AS uid) = user_id)
 public     | price_alerts  | price_alerts_select_own  | PERMISSIVE | {authenticated} | SELECT | (( SELECT auth.uid() AS uid) = user_id) | 
 public     | price_alerts  | price_alerts_update_own  | PERMISSIVE | {authenticated} | UPDATE | (( SELECT auth.uid() AS uid) = user_id) | (( SELECT auth.uid() AS uid) = user_id)
(6 linhas)

      table_name       |    grantee    | privilege_type 
-----------------------+---------------+----------------
 AdminPushDispatch     | anon          | DELETE
 AdminPushDispatch     | anon          | INSERT
 AdminPushDispatch     | anon          | REFERENCES
 AdminPushDispatch     | anon          | SELECT
 AdminPushDispatch     | anon          | TRIGGER
 AdminPushDispatch     | anon          | TRUNCATE
 AdminPushDispatch     | anon          | UPDATE
 AdminPushDispatch     | authenticated | DELETE
 AdminPushDispatch     | authenticated | INSERT
 AdminPushDispatch     | authenticated | REFERENCES
 AdminPushDispatch     | authenticated | SELECT
 AdminPushDispatch     | authenticated | TRIGGER
 AdminPushDispatch     | authenticated | TRUNCATE
 AdminPushDispatch     | authenticated | UPDATE
 AdminPushDispatch     | service_role  | DELETE
 AdminPushDispatch     | service_role  | INSERT
 AdminPushDispatch     | service_role  | REFERENCES
 AdminPushDispatch     | service_role  | SELECT
 AdminPushDispatch     | service_role  | TRIGGER
 AdminPushDispatch     | service_role  | TRUNCATE
 AdminPushDispatch     | service_role  | UPDATE
 AdminPushSubscription | anon          | DELETE
 AdminPushSubscription | anon          | INSERT
 AdminPushSubscription | anon          | REFERENCES
 AdminPushSubscription | anon          | SELECT
 AdminPushSubscription | anon          | TRIGGER
 AdminPushSubscription | anon          | TRUNCATE
 AdminPushSubscription | anon          | UPDATE
